"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
673,"LEGO Harry Potter: Years 1-4","DS","2010","Action","Warner Bros. Interactive Entertainment",1.07,1.05,0,0.23,2.35
674,"Donkey Kong Land II","GB","1996","Platform","Nintendo",1.39,0.48,0.4,0.08,2.35
675,"Dragon Warrior Monsters","GB","1998","Role-Playing","Eidos Interactive",0,0,2.34,0.01,2.35
682,"The Legend of Zelda: Majora's Mask 3D","3DS","2015","Action","Nintendo",1.14,0.54,0.47,0.17,2.32
688,"WarioWare Touched!","DS","2004","Puzzle","Nintendo",0.52,0.45,1.21,0.13,2.31
694,"Pokemon Ranger: Shadows of Almia","DS","2008","Role-Playing","Nintendo",0.95,0.54,0.62,0.18,2.3
701,"Yokai Watch Busters","3DS","2015","Action","Level 5",0,0,2.28,0,2.28
707,"Paper Mario: Sticker Star","3DS","2012","Role-Playing","Nintendo",1.12,0.39,0.64,0.12,2.27
710,"Kirby: Nightmare in Dream Land","GBA","2002","Platform","Nintendo",1.22,0.1,0.91,0.04,2.27
711,"Wario Land 4","GBA","2001","Platform","Nintendo",0.9,0.73,0.54,0.09,2.26
715,"Minecraft","PSV","2014","Misc","Sony Computer Entertainment Europe",0.28,0.79,0.87,0.32,2.25
721,"Dissidia: Final Fantasy","PSP","2008","Fighting","Square Enix",0.51,0.51,0.91,0.32,2.25
722,"Sonic Advance","GBA","2001","Platform","Sega",1.19,0.71,0.22,0.13,2.24
723,"Spyro: Season of Ice","GBA","2001","Platform","Vivendi Games",1.29,0.83,0,0.11,2.23
725,"LEGO Indiana Jones: The Original Adventures","DS","2008","Action","Activision",1.42,0.61,0,0.21,2.23
729,"Scribblenauts","DS","2009","Puzzle","Warner Bros. Interactive Entertainment",1.71,0.32,0.02,0.18,2.22
730,"The Legend of Zelda: Link's Awakening DX","GB","1998","Adventure","Nintendo",1,0.63,0.45,0.13,2.22
738,"Wario Land 3","GB","2000","Platform","Nintendo",1.11,0.51,0.34,0.23,2.2
741,"High School Musical: Makin' the Cut!","DS","2007","Puzzle","Disney Interactive Studios",1.06,0.91,0,0.23,2.2
745,"Kirby's Pinball Land","GB","1992","Misc","Nintendo",0.87,0.17,1.1,0.05,2.19
746,"Donkey Kong Country","GB","2000","Platform","Nintendo",1.04,0.72,0.3,0.13,2.19
748,"Yu-Gi-Oh: Duel Monsters 4","GB","2000","Role-Playing","Konami Digital Entertainment",0,0,2.17,0.01,2.18
752,"Pokemon Ranger","DS","2006","Role-Playing","Nintendo",1.29,0.04,0.73,0.12,2.18
753,"Mario & Luigi: Superstar Saga","GBA","2003","Role-Playing","Nintendo",1.48,0.17,0.47,0.06,2.17
763,"Call of Duty: Roads to Victory","PSP","2007","Shooter","Activision",0.52,1.03,0,0.59,2.14
770,"Tetris DS","DS","2006","Puzzle","Nintendo",0.64,0.07,1.35,0.08,2.13
771,"Final Fantasy Tactics Advance","GBA","2003","Role-Playing","SquareSoft",0.82,0.37,0.89,0.05,2.13
773,"Toy Story 3: The Video Game","DS","2010","Action","Disney Interactive Studios",0.93,0.97,0.02,0.21,2.12
774,"Final Fantasy III","DS","2006","Role-Playing","Square Enix",0.91,0.05,1.07,0.09,2.12
777,"Golf","GB","1989","Sports","Nintendo",0.83,0.33,0.92,0.04,2.12
790,"Need for Speed: Most Wanted 5-1-0","PSP","2005","Racing","Electronic Arts",1.77,0.13,0.02,0.18,2.1
798,"The Sims 2: Pets","DS","2006","Simulation","Electronic Arts",0.92,0.94,0,0.22,2.09
800,"Metal Gear Solid: Peace Walker","PSP","2010","Action","Konami Digital Entertainment",0.46,0.42,0.96,0.25,2.09
811,"Kingdom Hearts: Birth by Sleep","PSP","2010","Role-Playing","Square Enix",0.63,0.42,0.75,0.26,2.07
814,"Yu-Gi-Oh! The Eternal Duelist Soul","GBA","2001","Strategy","Konami Digital Entertainment",1.64,0.36,0,0.07,2.07
818,"Pokemon Mystery Dungeon: Red/Blue Rescue Team","GBA","2005","Role-Playing","Nintendo",0.71,0.52,0.74,0.08,2.06
819,"The Incredibles","GBA","2004","Action","THQ",1.15,0.77,0.04,0.1,2.06
822,"Mario & Luigi: Dream Team","3DS","2013","Role-Playing","Nintendo",0.89,0.57,0.46,0.13,2.06
824,"Carnival Games","DS","2008","Misc","Take-Two Interactive",1.23,0.64,0,0.19,2.05
826,"Pokémon Mystery Dungeon: Blue Rescue Team","DS","2005","Role-Playing","Nintendo",1.16,0.06,0.83,0,2.05
831,"Kingdom Hearts 358/2 Days","DS","2009","Role-Playing","Square Enix",1.11,0.27,0.53,0.14,2.04
836,"Donkey Kong Country","GBA","2003","Platform","Nintendo",1.2,0.48,0.29,0.07,2.04
846,"TouchMaster","DS","2007","Puzzle","Midway Games",0.49,1.27,0,0.25,2.01
849,"Fire Emblem: Awakening","3DS","2012","Role-Playing","Nintendo",0.89,0.45,0.53,0.13,2
854,"Tennis","GB","1989","Sports","Nintendo",0.75,0.3,0.9,0.04,1.99
855,"Harry Potter and the Chamber of Secrets","GBA","2002","Action","Electronic Arts",1.21,0.64,0.05,0.09,1.99
861,"Sonic Classic Collection","DS","2010","Platform","Sega",0.99,0.8,0,0.18,1.97
868,"Hot Shots Golf: Open Tee","PSP","2004","Sports","Sony Computer Entertainment",0.5,0.5,0.63,0.33,1.96
871,"Kirby Squeak Squad","DS","2006","Platform","Nintendo",0.79,0.03,1.05,0.08,1.96
882,"Alleyway","GB","1989","Puzzle","Nintendo",0.96,0.38,0.55,0.05,1.94
891,"Tetris DX","GB","1998","Puzzle","Nintendo",1.06,0.6,0.2,0.07,1.93
896,"The Legend of Zelda: Oracle of Ages","GB","2001","Action","Nintendo",0.92,0.53,0.41,0.06,1.92
913,"Yokai Watch","3DS","2013","Role-Playing","Nintendo",0.21,0.3,1.33,0.04,1.89
924,"Donkey Kong Country Returns","3DS","2013","Platform","Nintendo",0.73,0.62,0.4,0.12,1.87
925,"The Legend of Zelda: Oracle of Seasons","GB","2001","Adventure","Nintendo",0.87,0.52,0.41,0.06,1.86
933,"Phineas and Ferb","DS","2009","Action","Disney Interactive Studios",1.34,0.37,0,0.15,1.86
936,"Mario Party: Island Tour","3DS","2013","Misc","Nintendo",0.61,0.59,0.55,0.11,1.85
939,"Kingdom Hearts: Chain of Memories","GBA","2004","Role-Playing","Square Enix",1.26,0.18,0.35,0.06,1.85
946,"2 Games in 1: Sonic Advance & ChuChu Rocket!","GBA","2005","Misc","THQ",1.31,0.49,0,0.03,1.83
953,"Kirby: Triple Deluxe","3DS","2014","Platform","Nintendo",0.61,0.34,0.79,0.09,1.82
958,"Dragon Quest VI: Realms of Revelation","DS","2010","Role-Playing","Nintendo",0.22,0.21,1.35,0.03,1.81
965,"Sonic Advance 2","GBA","2002","Platform","Sega",0.93,0.59,0.21,0.07,1.8
974,"Dragon Quest Monsters: Joker","DS","2006","Role-Playing","Square Enix",0.23,0.03,1.49,0.03,1.78
977,"Professor Layton and the Mask of Miracle","3DS","2011","Puzzle","Nintendo",0.32,0.95,0.36,0.14,1.78
989,"Metroid II: Return of Samus","GB","1991","Adventure","Nintendo",0.85,0.31,0.56,0.04,1.76
992,"Golden Sun","GBA","2001","Role-Playing","Nintendo",0.93,0.38,0.4,0.06,1.76
1000,"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA","2007","Action","THQ",1.26,0.47,0,0.03,1.76
1013,"Cooking Mama 3: Shop & Chop","DS","2009","Simulation","505 Games",0.83,0.66,0.08,0.18,1.75
1015,"2 Games in 1: Disney Princess & The Lion King","GBA","2004","Misc","THQ",1.25,0.46,0,0.03,1.75
1025,"Uncharted: Golden Abyss","PSV","2011","Shooter","Sony Computer Entertainment",0.59,0.75,0.13,0.27,1.74
1030,"Harry Potter and the Sorcerer's Stone","GB","2001","Action","Electronic Arts",0.94,0.62,0.1,0.07,1.73
1032,"Crash Bandicoot: The Huge Adventure","GBA","2002","Platform","Universal Interactive",0.95,0.7,0,0.08,1.73
1038,"Imagine: Teacher","DS","2008","Simulation","Ubisoft",0.7,0.83,0,0.19,1.72
1045,"Deal or No Deal","DS","2007","Misc","Mindscape",1.15,0.41,0,0.15,1.71
1048,"Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS","DS","2006","Misc","Nintendo",0,0,1.71,0,1.71
1049,"Tetris Worlds","GBA","2001","Puzzle","THQ",1.25,0.39,0,0.06,1.71
1054,"Personal Trainer: Math","DS","2007","Puzzle","Nintendo",0.49,1.12,0,0.09,1.7
1057,"Ben 10: Protector of Earth","DS","2007","Action","D3Publisher",0.69,0.83,0,0.19,1.7
1068,"Harry Potter and the Sorcerer's Stone","GBA","2001","Action","Electronic Arts",0.87,0.66,0.08,0.08,1.69
1070,"Dragon Ball Z: The Legacy of Goku","GBA","2002","Role-Playing","Infogrames",1.52,0.12,0,0.05,1.69
1073,"Call of Duty Black Ops: Declassified","PSV","2012","Action","Activision",0.8,0.52,0.07,0.3,1.69
1074,"Star Wars Battlefront: Renegade Squadron","PSP","2007","Shooter","LucasArts",0.9,0.47,0,0.32,1.68
1078,"Yoshi's Cookie","GB","1992","Puzzle","Nintendo",0.59,0.24,0.82,0.03,1.68
1083,"Metroid Fusion","GBA","2002","Action","Nintendo",1.18,0.27,0.17,0.06,1.68
1093,"Monsters, Inc.","GBA","2001","Adventure","THQ",0.59,0.95,0.03,0.1,1.67
1114,"Dragon Quest IV: Chapters of the Chosen","DS","2007","Role-Playing","Square Enix",0.32,0.02,1.27,0.03,1.64
1115,"Kirby & the Amazing Mirror","GBA","2004","Platform","Nintendo",0.8,0.05,0.76,0.03,1.64
1138,"Mario Hoops 3 on 3","DS","2006","Sports","Nintendo",0.99,0.04,0.49,0.1,1.62
1144,"Baseball","GB","1989","Sports","Nintendo",0.66,0.27,0.65,0.03,1.61
1145,"Yu-Gi-Oh! Duel Monsters","GB","1998","Strategy","Konami Digital Entertainment",0,0,1.61,0.01,1.61
1148,"SpongeBob's Atlantis SquarePantis","DS","2007","Action","THQ",1.5,0,0,0.11,1.61
1151,"Moshi Monsters: Moshling Zoo","DS","2011","Misc","Activision",0.4,0.99,0,0.22,1.6
1157,"Dragon Quest V: Hand of the Heavenly Bride","DS","2008","Role-Playing","Square Enix",0.19,0.02,1.36,0.02,1.6
1172,"Guitar Hero: On Tour Decades","DS","2008","Misc","Activision",0.85,0.58,0,0.16,1.58
1173,"MySims Kingdom","DS","2008","Simulation","Electronic Arts",0.81,0.6,0.01,0.17,1.58
1177,"High School Musical 3: Senior Year","DS","2008","Misc","Disney Interactive Studios",0.64,0.76,0,0.17,1.58
1178,"Kingdom Hearts 3D: Dream Drop Distance","3DS","2012","Action","Square Enix",0.88,0.26,0.34,0.09,1.58
1179,"Hannah Montana: Music Jam","DS","2007","Action","Disney Interactive Studios",1.06,0.37,0,0.15,1.58
1180,"Pokemon Mystery Dungeon: Explorers of Sky","DS","2009","Role-Playing","Nintendo",0.58,0.44,0.44,0.12,1.58
1181,"Spyro 2: Season of Flame","GBA","2002","Platform","Vivendi Games",0.85,0.65,0,0.08,1.58
1193,"Dragon Quest Monsters 2","GB","2001","Role-Playing","Enix Corporation",0,0,1.56,0,1.56
1194,"Pokemon Pinball: Ruby & Sapphire","GBA","2003","Misc","Nintendo",0.68,0.38,0.44,0.05,1.56
1208,"LEGO Battles: Ninjago","DS","2011","Strategy","Warner Bros. Interactive Entertainment",1.07,0.36,0,0.12,1.55
1212,"Fire Emblem Fates","3DS","2015","Role-Playing","Nintendo",0.71,0.22,0.52,0.1,1.54
1216,"Disney Fairies: Tinker Bell","DS","2008","Adventure","Disney Interactive Studios",0.86,0.52,0.01,0.15,1.54
1222,"The Simpsons Game","DS","2007","Action","Electronic Arts",0.57,0.79,0,0.17,1.53
1231,"Sonic Rivals 2","PSP","2007","Racing","Sega",0.44,0.69,0,0.39,1.52
1247,"Puzzle & Dragons","3DS","2013","Role-Playing","GungHo",0,0,1.51,0,1.51
1259,"Super Scribblenauts","DS","2010","Puzzle","Warner Bros. Interactive Entertainment",1.08,0.31,0,0.11,1.5
1272,"Drawn To Life: SpongeBob SquarePants Edition","DS","2008","Adventure","THQ",1,0.36,0,0.13,1.49
1278,"Bratz: Forever Diamondz","DS","2006","Adventure","THQ",0.43,0.88,0,0.18,1.48
1282,"Wario Land II","GB","1997","Platform","Nintendo",0.7,0.35,0.39,0.04,1.48
1287,"Imagine: Master Chef","DS","2007","Simulation","Ubisoft",0.39,0.92,0,0.17,1.47
1288,"Assassin's Creed III: Liberation","PSV","2012","Action","Ubisoft",0.58,0.55,0.06,0.28,1.47
1291,"Disney Princess","GBA","2003","Platform","THQ",1.04,0.37,0,0.06,1.47
1294,"Chrono Trigger","DS","2008","Role-Playing","Square Enix",0.69,0.2,0.49,0.09,1.47
1297,"Disney Princess: Magical Jewels","DS","2007","Adventure","Disney Interactive Studios",1.15,0.2,0,0.12,1.47
1298,"LittleBigPlanet PS Vita","PSV","2012","Platform","Sony Computer Entertainment",0.4,0.72,0.02,0.33,1.47
1300,"The SpongeBob SquarePants Movie","GBA","2004","Platform","THQ",1.02,0.38,0,0.06,1.46
1304,"Wall-E","DS","2008","Platform","THQ",0.46,0.83,0,0.17,1.46
1315,"SNK vs. Capcom: The Match of the Millennium","PSP","2006","Fighting","Sega",0.53,0.58,0,0.35,1.46
1316,"LEGO City Undercover","3DS","2013","Platform","Nintendo",0.51,0.75,0.07,0.12,1.46
1325,"Tamagotchi","GB","1996","Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45
1328,"Game de Hakken!! Tamagotchi 2","GB","1997","Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45
1331,"Dragon Quest Monsters: Joker 2","DS","2010","Role-Playing","Square Enix",0.11,0.08,1.24,0.02,1.45
1333,"My Word Coach","DS","2007","Misc","Ubisoft",0.37,0.9,0,0.18,1.45
1334,"Hello Kitty Party","DS","2007","Misc","Rising Star Games",0.79,0.53,0,0.13,1.44
1336,"Sonic Rivals","PSP","2006","Racing","Sega",0.73,0.42,0,0.28,1.44
1352,"Disney's DuckTales","GB","1988","Platform","Capcom",0.82,0.23,0.35,0.03,1.43
1353,"Classic NES Series: Super Mario Bros.","GBA","2004","Platform","Nintendo",0,0,1.39,0.03,1.43
1355,"Dragon Quest VII: Warriors of Eden","3DS","2013","Role-Playing","Square Enix",0.07,0.04,1.3,0.01,1.42
1359,"The Legend of Zelda: The Minish Cap","GBA","2004","Action","Nintendo",0.89,0.22,0.22,0.1,1.42
1366,"Inazuma Eleven 2","DS","2009","Role-Playing","Nintendo",0,0.21,1.18,0.03,1.42
1368,"LEGO Star Wars II: The Original Trilogy","PSP","2006","Action","LucasArts",0.58,0.51,0,0.32,1.41
1375,"Ridge Racer","PSP","2004","Racing","Sony Computer Entertainment",0.36,0.45,0.32,0.28,1.41
1386,"Sonic Advance 3","GBA","2004","Platform","THQ",0.74,0.52,0.08,0.06,1.4
1392,"Final Fantasy XII: Revenant Wings","DS","2007","Role-Playing","Square Enix",0.34,0.42,0.54,0.1,1.39
1393,"Bakugan: Battle Brawlers","DS","2009","Action","Activision",1.27,0.02,0,0.09,1.39
1402,"The Sims 2","PSP","2005","Simulation","Electronic Arts",0.49,0.56,0,0.33,1.38
1404,"Bravely Default: Flying Fairy","3DS","2012","Role-Playing","Nintendo",0.5,0.32,0.49,0.07,1.38
1407,"Persona 4: Golden","PSV","2012","Role-Playing","Atlus",0.46,0.34,0.38,0.21,1.38
